Gryffindor|Slytherin
Person you could beat up|Person who'd beat you up
Comedy|Drama
Ethical to eat|Unethical to eat
Looks like a person|Doesn't look like a person
Untalented|Talented
Etiquette|Manners
Optional|Mandatory
Limited|Infinite
Least evil company|Most evil company
Dangerous job|Safe job
Normal pet|Exotic pet
Little known fact|Well known fact
Small|Tiny
Bitter|Sweet
Horizontal|Vertical
Famous|Infamous
Role model|Bad Influence
Happens slowly|Happens suddenly
Messy food|Clean food
Old fashioned|Avant garde
Square|Round
Hard to find|Easy to find
Small talk|Heavy topic
For kids|For adults
Not art|Art
Dark|Light
Useless in an emergency|Useful in an emergency
The Light Side of the Force|The Dark Side of the Force
Introvert|Extrovert
Ugly man|Beautiful man
Unreliable|Reliable
Bad TV show|Good TV show
Artisanal|Mass Produced
Divided|Whole
Easy to spell|Hard to spell
Heterogeneous|Homogenous
Dangerous|Safe
Geek|Dork
Artificial|Natural
Cheap|Expensive
Unforgivable|Forgivable
True|False
Art|Commerce
Worst year in history|Best year in history
Unpopular activity|Popular activity
Action movie|Adventure movie
Underrated letter of the alphabet|Overrated letter of the alphabet
Waste of time|Good use of time
Past|Future
Movie|Film
Close|Distant
Bad man|Good man
Ameteur|Professional
Fad|Classic
Difficult to use|Easy to use
Local issue|Global issue
Plain|Fancy
Liquid|Solid
Flat|Hilly
Basic|Hipster
Similar|Identical
Snack|Meal
Bad movie|Good movie
Bad dog breed|Good dog breed
Guilty pleasure|Openly love
Good|Evil
Useless body part|Useful body part
Easy to do|Hard to do
Tastes bad|Tastes good
Underpaid|Overpaid
Unknown|Famous
Underrated skill|Overrated skill
Fruit|Vegetable
East|West
Popular|Elitist
Doesn’t vape|Vapes
Endangered species|Overpopulated species
Socialist|Capitalist
Peaceful|Warlike
Straight|Curvy
Unsexy emoji|Sexy emoji
Normal thing to own|Weird thing to own
80s|90s
Movie that Godzilla would ruin|Movie that Godzilla would improve
Artisanal|Mass produced
Low calorie|High calorie
Unfashionable|Fashionable
Ineffective|Effective
Nerd|Jock
Person you could beat up|Person who’d beat you up
Limp|Firm
Underrated thing to own|Overrated thing to own
Easy to kill|Hard to kill
Expected|Unexpected
Star Wars|Star Trek
Bad|Good
Unsexy color|Sexy color
Casual event|Formal event
Historically important|Historically irrelevant
